game,feature,target,balanced_acc,chance,null_mean,p_value,p_holm,decodable
sb26,pixel,reward_imminence,0.8079,0.5,0.5001,0.0004997501249375312,0.04498,True
sb26,pixel,reward_proximity,0.7936,0.5,0.5,0.0004997501249375312,0.04498,True
sb26,pixel,time_since_reset,0.5308,0.2,0.2001,0.0004997501249375312,0.04498,True
sb26,clock,level_id,0.4151,0.125,0.1256,0.0004997501249375312,0.04498,True
sb26,clock,transition,0.55,0.5,0.5285,0.5047476261869065,1.0,False
sb26,clock,reward_imminence,0.55,0.5,0.5002,0.005497251374312844,0.10995,False
sb26,clock,reward_proximity,0.55,0.5,0.5,0.0009995002498750624,0.04498,True
sb26,clock,time_since_reset,1.0,0.2,0.1996,0.0004997501249375312,0.04498,True
tn36,deter,level_id,0.5308,0.1429,0.1427,0.001996007984031936,,
tn36,deter,transition,0.5027,0.5,0.5057,0.45109780439121755,,
tn36,deter,reward_imminence,0.5107,0.5,0.4999,0.1936127744510978,,
tn36,deter,reward_proximity,0.5277,0.5,0.5003,0.00998003992015968,,
tn36,deter,time_since_reset,0.8453,0.2,0.1995,0.001996007984031936,,
tn36,stoch,level_id,0.4883,0.1429,0.1428,0.001996007984031936,,
tn36,stoch,transition,0.5231,0.5,0.5071,0.14770459081836326,,
tn36,stoch,reward_imminence,0.5022,0.5,0.5001,0.2714570858283433,,
tn36,stoch,reward_proximity,0.5065,0.5,0.5004,0.1377245508982036,,
tn36,stoch,time_since_reset,0.5959,0.2,0.2004,0.001996007984031936,,
tn36,both,level_id,0.5339,0.1429,0.1426,0.0004997501249375312,0.04498,True
tn36,both,transition,0.5266,0.5,0.5076,0.22038980509745126,1.0,False
tn36,both,reward_imminence,0.4933,0.5,0.5003,0.7096451774112944,1.0,False
tn36,both,reward_proximity,0.532,0.5,0.5003,0.0029985007496251873,0.06297,False
tn36,both,time_since_reset,0.8346,0.2,0.1998,0.0004997501249375312,0.04498,True
tn36,pixel,level_id,0.3625,0.1429,0.143,0.0004997501249375312,0.04498,True
tn36,pixel,transition,0.7484,0.5,0.5083,0.0004997501249375312,0.04498,True
