batch,arm,game,seed,done,step,train_eps,train_clears,norm_entropy,image_loss,periodic_n,periodic_clears,periodic_official,periodic_harness,e100_n,e100_clear_rate,e100_lo,e100_hi,e100_official,e100_official_mean,e100_levels_max
shape001,cold,cd82,2,True,499898,4941,4935,0.2730753238554354,1.893340903299826,24,0,0.0,0.0,100,1.0,0.963,1.0,0.05839,0.04951,2
shape001,cold,lf52,0,True,498529,1498,1487,0.8095755866187775,0.5901824676704978,35,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,lf52,1,True,499823,1546,1535,0.7952379617426131,0.7948558540255936,29,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,lf52,2,True,499633,1441,1431,0.8116020647327552,0.588622664635101,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,ls20,0,True,499313,1038,970,0.6393195196124147,1.711943818764253,22,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,ls20,1,True,499946,920,870,0.4748838332694347,1.259443371549366,22,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,ls20,2,True,496846,1027,974,0.5034267392178131,2.036157275668878,22,0,0.0,0.0,100,0.95,0.8882,0.9785,0.03571,0.02306,1
shape001,cold,sb26,0,True,499573,612,605,0.3538890987926838,1.0254764606555302,16,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,sb26,1,True,499205,628,621,0.35038768626301664,1.0740812665126362,19,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,sb26,2,True,496162,631,624,0.32580316692590716,1.136676824092865,20,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,tn36,0,True,499952,7313,7307,0.901812421456548,3.6468412025284223,19,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,tn36,1,True,499940,6571,6565,0.891402599963356,2.3989019300160783,17,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,tn36,2,True,499934,6869,6863,0.8256046678306479,3.931083236228336,21,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,vc33,0,True,499865,5542,5536,0.735471630504376,1.075571836400848,18,4,0.03571,0.05476,100,1.0,0.963,1.0,0.04579,0.04067,2
shape001,cold,vc33,1,True,499993,6669,6663,0.7199341078985084,0.8677881605995511,15,1,0.01446,0.05476,100,1.0,0.963,1.0,0.0216,0.01651,1
shape001,cold,vc33,2,True,499974,6562,6557,0.7493163591837028,0.8603052152580474,24,7,0.01036,0.04762,100,1.0,0.963,1.0,0.07748,0.01373,2
shape01,cold,cd82,0,True,499981,4938,4932,0.3594431621212942,2.7085124528984155,24,0,0.0,0.0,100,0.99,0.9455,0.9982,0.04762,0.0458,1
shape01,cold,cd82,1,True,499552,4939,4934,0.28367885019419325,2.7485433596485067,21,1,0.04762,0.05476,100,0.89,0.8137,0.9375,0.04762,0.04238,1
shape01,cold,cd82,2,True,499985,4944,4938,0.08809005439673599,1.5807908309581584,21,0,0.0,0.0,100,1.0,0.963,1.0,0.04762,0.04762,1
shape01,cold,lf52,0,True,499145,1593,1582,0.5763396356787001,0.6125608469758715,41,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,lf52,1,True,499637,1572,1551,0.7222019060288069,1.02599975111571,68,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,lf52,2,True,499381,1606,1584,0.7553802281618118,0.6388587485998869,70,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,ls20,0,True,499740,1311,1255,0.6000689792324347,2.219644015766235,16,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,ls20,1,True,499974,1688,1656,0.5522301839895485,1.8512514213885158,14,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,ls20,2,True,498894,1467,1431,0.4133446709563335,1.5128381803631783,13,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,sb26,0,True,498256,756,749,0.24449651863313082,1.070597289863861,19,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,sb26,1,True,499970,837,830,0.2032083105928493,1.0586794234671684,13,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,sb26,2,True,499728,827,820,0.15231695754284208,1.03368725943746,19,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,tn36,0,True,499950,6674,6667,0.9109609784282205,6.723380784571398,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,tn36,1,True,499990,6874,6867,0.894815049806617,4.638881256221344,21,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,tn36,2,True,499988,6957,6950,0.705519279067436,3.976920919471912,27,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
shape01,cold,vc33,0,True,499920,6361,6356,0.7042620722274209,1.3370552085312117,23,8,0.03571,0.05476,100,0.03,0.0103,0.0845,0.02765,0.00054,2
shape01,cold,vc33,1,True,499883,6628,6623,0.5039480844029673,6.031417387944681,14,5,0.00259,0.0119,100,0.7,0.6041,0.7811,0.15335,0.03684,3
shape01,cold,vc33,2,True,499678,6485,6480,0.48297286359404745,1.304972204602199,17,2,0.0028,0.01288,100,0.97,0.9155,0.9897,0.08267,0.02317,2
sweep,cold,ar25,0,True,496640,503,0,0.9999999446368842,0.5412471701255005,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,ar25,1,True,498736,503,0,0.9999999403953552,0.5481124759400299,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,ar25,2,True,499728,503,0,0.9999999426531069,0.4664646409113299,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,bp35,0,True,499200,7688,0,0.9999999424506878,0.7966694156524583,32,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,bp35,1,True,499200,7688,0,0.9999999403953552,0.9947944906220507,32,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,bp35,2,True,499200,7688,0,0.9999999403953552,0.7990044134088082,32,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,cn04,0,True,499776,6582,0,0.9999999429682176,0.5314120900073498,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,cn04,1,True,499776,6582,0,0.9999999403953552,0.5807016844696858,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,cn04,2,True,499776,6581,0,0.9999999434520037,0.5335757733483018,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,dc22,0,True,499809,3961,0,0.9999999403953552,1.1730065297016867,6,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,dc22,1,True,499765,3959,0,0.9999999403953552,1.1759951344076192,9,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,dc22,2,True,499983,3960,0,0.9999999437314361,1.2715462904367874,8,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
